EntryNum	Species_CN	Species_Latin	Genus_CN	Genus_Latin	Family_CN	Family_Latin	DiseaseName	Viruses	Symptoms	Figures	Description
0			番木瓜属							0	
0			美人蕉属		夹竹桃科					0	
0			枣属		夹竹桃科					0	
0			堇菜属 …………………………89               91. 堇菜属		夹竹桃科					0	
0			白屈菜属		虎耳草科					0	
0			绣球属		虎耳草科					0	
0			紫茉莉属		虎耳草科					0	
2	鳢肠	Eclipta prostrata	松果菊属(属		虎耳草科	Compositae		Echinacea yellow mottle virus; 到南方菜豆一品红花叶病毒; cucumber    mosaic    virus; 被命名为松果菊黄斑驳病毒; 地区发现松果菊黄花叶病; 害相关病毒有黄瓜花叶病毒; broad  bean  wilt  virus; tobacco   streak   virus		2	松果菊俗名紫锥菊、紫锥花，多年生草本植物，花色甚多，可作为花带栽植材料或作为 花镜、花海、坡地材料在园林中使用，亦可作为切花、干花在日常生活中使用。松果菊原生 于北美洲中部及东部，现在欧洲、俄罗斯、中亚地区、蒙古国及我国西北地区均有分布。
3	藿香蓟	Ageratum  conyzoides	藿香蓟属(属		虎耳草科	Compositae		Ageratum   leaf  curl   virus; 包括中国胜红蓟黄脉病毒; Ageratum  yellow  vein  virus; 胜红蓟曲叶病毒; 花莲胜红蓟黄脉病; Ageratum yellow  vein  Hualian  virus; Ageratum  yellow  vein  China  virus; 脉病或曲叶病; 发现典型的藿香蓟黄脉病; Ageratum  leaf curl  Sichuan  virus; 菜豆金色花叶病; tobacco  leaf  curl  Yunnan  virus; 四川胜红蓟曲叶病毒	发病初期，仅少数叶片的局部叶脉变黄，可清晰地区分黄色叶脉和绿色叶肉组织；	1	藿香蓟俗名臭草、胜红蓟， 一年生草本，生于山谷、山坡林下或林缘、河边或山坡  草地、田边或荒地上。原产地为拉丁美洲，现在我国广东、广西、云南、贵州、四川、 江西、福建等地均有分布。
4	豨签	Siegesbeckia  orientalis	豨签属(属		虎耳草科	Compositae		tomato yellow leaf curl China  virus; Siegesbeckia  yellow  vein  virus; 以及中国番茄黄化曲叶病毒; 现典型的豨签黄脉病; Siegesbeckia yellow vein Guangxi virus; 病毒有豨签黄脉病毒; papaya leaf curl China virus; 签上均发现了豨签黄脉病; 中国番木瓜曲叶病毒; 广西豨签黄脉病毒	发病初期部分叶片的叶脉变黄，中期整株表现出系统性黄脉症 状，后期整个叶片出现黄化甚至枯萎症状(图4)。	1	豨签是一年生草本植物，在我国陕西、甘肃、江苏、浙江、安徽、江西、湖南、四 川、贵州、福建、广东、广西、云南等省份均有分布，生长于山野、荒草地、灌丛、林 缘及林下，也常见于耕地中。
