Virus Family	Virus Genus	Virus Name	Virus TaxID	Vector Order	Vector Family	Vector Genus	Vector	Vector TaxID	Virus Host	Host TaxID
Caulimoviridae	Caulimovirus	Cauliflower mosaic virus	10641	Hemiptera	Aphididae	Acyrthosiphon	Acyrthosiphon pisum	7029	Arabidopsis thaliana	3702
Caulimoviridae	Caulimovirus	Cauliflower mosaic virus	10641	Hemiptera	Aphididae	Acyrthosiphon	Acyrthosiphon pisum	7029	Brassica	3705
Caulimoviridae	Caulimovirus	Cauliflower mosaic virus	10641	Hemiptera	Aphididae	Acyrthosiphon	Acyrthosiphon pisum	7029	Raphanus	3725
Caulimoviridae	Caulimovirus	Cauliflower mosaic virus	10641	Lepidoptera	Noctuidae	Spodoptera	Spodoptera frugiperda	7108	Arabidopsis thaliana	3702
Caulimoviridae	Caulimovirus	Cauliflower mosaic virus	10641	Lepidoptera	Noctuidae	Spodoptera	Spodoptera frugiperda	7108	Brassica	3705
Caulimoviridae	Caulimovirus	Cauliflower mosaic virus	10641	Lepidoptera	Noctuidae	Spodoptera	Spodoptera frugiperda	7108	Raphanus	3725
Caulimoviridae	Caulimovirus	Cauliflower mosaic virus	10641	Hemiptera	Aphididae	Myzus	Myzus persicae	13164	Arabidopsis thaliana	3702
Caulimoviridae	Caulimovirus	Cauliflower mosaic virus	10641	Hemiptera	Aphididae	Myzus	Myzus persicae	13164	Brassica	3705
Caulimoviridae	Caulimovirus	Cauliflower mosaic virus	10641	Hemiptera	Aphididae	Myzus	Myzus persicae	13164	Raphanus	3725
Caulimoviridae	Caulimovirus	Cauliflower mosaic virus	10641	Hemiptera	Aphididae	Brevicoryne	Brevicoryne brassicae	69196	Arabidopsis thaliana	3702
Caulimoviridae	Caulimovirus	Cauliflower mosaic virus	10641	Hemiptera	Aphididae	Brevicoryne	Brevicoryne brassicae	69196	Brassica	3705
Caulimoviridae	Caulimovirus	Cauliflower mosaic virus	10641	Hemiptera	Aphididae	Brevicoryne	Brevicoryne brassicae	69196	Raphanus	3725
Caulimoviridae	Tungrovirus	Rice tungro bacilliform virus	10654	Hemiptera	Cicadellidae	Nephotettix	Nephotettix cincticeps	94400	Oryza sativa	4530
Caulimoviridae	Tungrovirus	Rice tungro bacilliform virus	10654	Hemiptera	Delphacidae	Laodelphax	Laodelphax striatellus	195883	Oryza sativa	4530
Caulimoviridae	Tungrovirus	Rice tungro bacilliform virus	10654	Hemiptera	Cicadellidae	Nephotettix	Nephotettix virescens	1032906	Oryza sativa	4530
Caulimoviridae	Tungrovirus	Rice tungro bacilliform virus	10654	Hemiptera	Cicadellidae	Nephotettix	Nephotettix nigropictus	1563985	Oryza sativa	4530
Caulimoviridae	Tungrovirus	Rice tungro bacilliform virus	10654	Hemiptera	Cicadellidae	Recilia	Recilia dorsalis	1582033	Oryza sativa	4530
Caulimoviridae	Tungrovirus	Rice tungro bacilliform virus	10654	Hemiptera	Cicadellidae	Nephotettix	Nephotettix parvus	2800240	Oryza sativa	4530
Geminiviridae	Begomovirus	Begomovirus bauri	10815	Hemiptera	Aleyrodidae	Bemisia	Bemisia tabaci	7038	Nicotiana tabacum	4097
Geminiviridae	Begomovirus	Begomovirus bauri	10815	Hemiptera	Aleyrodidae	Bemisia	Bemisia tabaci	7038	Nicotiana benthamiana	4100
Geminiviridae	Begomovirus	Begomovirus bauri	10815	Hemiptera	Aleyrodidae	Bemisia	Bemisia tabaci	7038	Nicotiana clevelandii	81866
Geminiviridae	Begomovirus	Begomovirus bauri	10815	Hemiptera	Aleyrodidae	Bemisia	Bemisia tabaci	7038	Malva parviflora	145753
Geminiviridae	Begomovirus	Begomovirus bauri	10815	Hemiptera	Aleyrodidae	Bemisia	Bemisia tabaci	7038	Callianthe sellowiana	2059498
Geminiviridae	Begomovirus	Begomovirus manihotis	10817	Hemiptera	Aleyrodidae	Bemisia	Bemisia tabaci	7038	Manihot esculenta	3983
Geminiviridae	Mastrevirus	Chloris striate mosaic virus	10820	Hemiptera	Cicadellidae	Nesoclutha	Nesoclutha phryne	2901953	Avena sativa	4498
Geminiviridae	Mastrevirus	Chloris striate mosaic virus	10820	Hemiptera	Cicadellidae	Nesoclutha	Nesoclutha phryne	2901953	Dactylis glomerata	4509
Geminiviridae	Mastrevirus	Chloris striate mosaic virus	10820	Hemiptera	Cicadellidae	Nesoclutha	Nesoclutha phryne	2901953	Hordeum vulgare	4513
Geminiviridae	Mastrevirus	Chloris striate mosaic virus	10820	Hemiptera	Cicadellidae	Nesoclutha	Nesoclutha phryne	2901953	Triticum	4564
Geminiviridae	Mastrevirus	Chloris striate mosaic virus	10820	Hemiptera	Cicadellidae	Nesoclutha	Nesoclutha phryne	2901953	Zea mays	4577
Geminiviridae	Mastrevirus	Chloris striate mosaic virus	10820	Hemiptera	Cicadellidae	Nesoclutha	Nesoclutha phryne	2901953	Chloris gayana	110876
Geminiviridae	Mastrevirus	Chloris striate mosaic virus	10820	Hemiptera	Cicadellidae	Nesoclutha	Nesoclutha phryne	2901953	Ixophorus unisetus	279312
Geminiviridae	Mastrevirus	Maize streak virus	10821	Hemiptera	Cicadellidae	Cicadulina	Cicadulina mbila	2591921	Zea mays	4577
Geminiviridae	Mastrevirus	Maize streak virus	10821	Hemiptera	Cicadellidae	Cicadulina	Cicadulina mbila	2591921	Zea mays subsp. mays	381124
Geminiviridae	Mastrevirus	Panicum streak virus	10826	Hemiptera	Cicadellidae	Cicadulina	Cicadulina mbila	2591921	Zea mays	4577
Geminiviridae	Mastrevirus	Panicum streak virus	10826	Hemiptera	Cicadellidae	Cicadulina	Cicadulina mbila	2591921	Megathyrsus maximus	59788
Geminiviridae	Begomovirus	Potato yellow mosaic virus	10827	Hemiptera	Aleyrodidae	Bemisia	Bemisia tabaci	7038	Solanum tuberosum	4113
Geminiviridae	Begomovirus	Squash leaf curl virus	10829	Hemiptera	Aleyrodidae	Bemisia	Bemisia tabaci	7038	Cucurbita moschata	3662
Geminiviridae	Begomovirus	Squash leaf curl virus	10829	Hemiptera	Aleyrodidae	Bemisia	Bemisia tabaci	7038	Cucurbita pepo	3663
Geminiviridae	Begomovirus	Squash leaf curl virus	10829	Hemiptera	Aleyrodidae	Bemisia	Bemisia tabaci	7038	Phaseolus vulgaris	3885
Geminiviridae	Mastrevirus	Tobacco yellow dwarf virus	10830	Hemiptera	Cicadellidae	Orosius	Orosius argentatus	1401702	Datura stramonium	4076
Geminiviridae	Mastrevirus	Tobacco yellow dwarf virus	10830	Hemiptera	Cicadellidae	Orosius	Orosius argentatus	1401702	Solanum lycopersicum	4081
Geminiviridae	Mastrevirus	Tobacco yellow dwarf virus	10830	Hemiptera	Cicadellidae	Orosius	Orosius argentatus	1401702	Nicotiana tabacum	4097
Geminiviridae	Mastrevirus	Tobacco yellow dwarf virus	10830	Hemiptera	Cicadellidae	Orosius	Orosius argentatus	1401702	Datura stramonium var. tatula	239686
Geminiviridae	Begomovirus	Tomato golden mosaic virus	10831	Hemiptera	Aleyrodidae	Bemisia	Bemisia tabaci	7038	Datura stramonium	4076
Geminiviridae	Begomovirus	Tomato golden mosaic virus	10831	Hemiptera	Aleyrodidae	Bemisia	Bemisia tabaci	7038	Solanum lycopersicum	4081
Geminiviridae	Begomovirus	Tomato golden mosaic virus	10831	Hemiptera	Aleyrodidae	Bemisia	Bemisia tabaci	7038	Nicotiana debneyi	4089
Geminiviridae	Begomovirus	Tomato golden mosaic virus	10831	Hemiptera	Aleyrodidae	Bemisia	Bemisia tabaci	7038	Nicotiana benthamiana	4100
Geminiviridae	Begomovirus	Tomato golden mosaic virus	10831	Hemiptera	Aleyrodidae	Bemisia	Bemisia tabaci	7038	Physalis	24663
Geminiviridae	Begomovirus	Tomato golden mosaic virus	10831	Hemiptera	Aleyrodidae	Bemisia	Bemisia tabaci	7038	Solanum pennellii	28526
Geminiviridae	Begomovirus	Tomato golden mosaic virus	10831	Hemiptera	Aleyrodidae	Bemisia	Bemisia tabaci	7038	Nicotiana glutinosa	35889
Geminiviridae	Begomovirus	Tomato golden mosaic virus	10831	Hemiptera	Aleyrodidae	Bemisia	Bemisia tabaci	7038	Nicotiana clevelandii	81866
Geminiviridae	Begomovirus	Tomato yellow leaf curl virus	10832	Hemiptera	Aleyrodidae	Bemisia	Bemisia tabaci	7038	Phaseolus vulgaris	3885
Geminiviridae	Begomovirus	Tomato yellow leaf curl virus	10832	Hemiptera	Aleyrodidae	Bemisia	Bemisia tabaci	7038	Capsicum annuum	4072
Geminiviridae	Begomovirus	Tomato yellow leaf curl virus	10832	Hemiptera	Aleyrodidae	Bemisia	Bemisia tabaci	7038	Solanum lycopersicum	4081
Geminiviridae	Begomovirus	Tomato yellow leaf curl virus	10832	Hemiptera	Aleyrodidae	Bemisia	Bemisia tabaci	7038	Nicotiana benthamiana	4100
Geminiviridae	Begomovirus	Tomato yellow leaf curl virus	10832	Hemiptera	Aleyrodidae	Bemisia	Bemisia tabaci	7038	Malva parviflora	145753
Geminiviridae	Begomovirus	Tomato yellow leaf curl virus	10832	Hemiptera	Aleyrodidae	Bemisia	Bemisia tabaci	7038	Cynanchum acutum	185024
Geminiviridae	Begomovirus	Tomato yellow leaf curl virus	10832	Hemiptera	Aleyrodidae	Trialeurodes	Trialeurodes vaporariorum	88556	Phaseolus vulgaris	3885
Geminiviridae	Begomovirus	Tomato yellow leaf curl virus	10832	Hemiptera	Aleyrodidae	Trialeurodes	Trialeurodes vaporariorum	88556	Capsicum annuum	4072
Geminiviridae	Begomovirus	Tomato yellow leaf curl virus	10832	Hemiptera	Aleyrodidae	Trialeurodes	Trialeurodes vaporariorum	88556	Solanum lycopersicum	4081
Geminiviridae	Begomovirus	Tomato yellow leaf curl virus	10832	Hemiptera	Aleyrodidae	Trialeurodes	Trialeurodes vaporariorum	88556	Nicotiana benthamiana	4100
Geminiviridae	Begomovirus	Tomato yellow leaf curl virus	10832	Hemiptera	Aleyrodidae	Trialeurodes	Trialeurodes vaporariorum	88556	Malva parviflora	145753
Geminiviridae	Begomovirus	Tomato yellow leaf curl virus	10832	Hemiptera	Aleyrodidae	Trialeurodes	Trialeurodes vaporariorum	88556	Cynanchum acutum	185024
Geminiviridae	Mastrevirus	Wheat dwarf virus	10834	Hemiptera	Cicadellidae	Psammotettix	Psammotettix alienus	1329925	Triticum aestivum	4565
Geminiviridae	Begomovirus	Tomato mottle virus	10835	Hemiptera	Aleyrodidae	Bemisia	Bemisia tabaci	7038	Solanum lycopersicum	4081
