eppo_code	virus_name	photo_id	thumb_url	full_url	caption	photographer	photo_page
AMV000	Alfamovirus AMV	19433	https://gd.eppo.int/media/data/taxon/A/AMV000/pics/220x130/19433.jpg	https://gd.eppo.int/media/data/taxon/A/AMV000/pics/1024x0/19433.jpg	""	Wietse den Hartog NVWA (NPPO the Netherlands)	https://gd.eppo.int/taxon/AMV000/photos
AMV000	Alfamovirus AMV	19432	https://gd.eppo.int/media/data/taxon/A/AMV000/pics/220x130/19432.jpg	https://gd.eppo.int/media/data/taxon/A/AMV000/pics/1024x0/19432.jpg	""	Wietse den Hartog NVWA (NPPO the Netherlands)	https://gd.eppo.int/taxon/AMV000/photos
AMV000	Alfamovirus AMV	19436	https://gd.eppo.int/media/data/taxon/A/AMV000/pics/220x130/19436.jpg	https://gd.eppo.int/media/data/taxon/A/AMV000/pics/1024x0/19436.jpg	""	Wietse den Hartog NVWA (NPPO the Netherlands)	https://gd.eppo.int/taxon/AMV000/photos
AMV000	Alfamovirus AMV	19434	https://gd.eppo.int/media/data/taxon/A/AMV000/pics/220x130/19434.jpg	https://gd.eppo.int/media/data/taxon/A/AMV000/pics/1024x0/19434.jpg	""	Wietse den Hartog NVWA (NPPO the Netherlands)	https://gd.eppo.int/taxon/AMV000/photos
AMV000	Alfamovirus AMV	19435	https://gd.eppo.int/media/data/taxon/A/AMV000/pics/220x130/19435.jpg	https://gd.eppo.int/media/data/taxon/A/AMV000/pics/1024x0/19435.jpg	""	Wietse den Hartog NVWA (NPPO the Netherlands)	https://gd.eppo.int/taxon/AMV000/photos
SCRV00	Alphacytorhabdovirus fragariarugosus	1535	https://gd.eppo.int/media/data/taxon/S/SCRV00/pics/220x130/1535.jpg	https://gd.eppo.int/media/data/taxon/S/SCRV00/pics/1024x0/1535.jpg	Symptoms in pot-grown strawberry plant.	Central Science Laboratory, York (GB) - British Crown.	https://gd.eppo.int/taxon/SCRV00/photos
SCRV00	Alphacytorhabdovirus fragariarugosus	1534	https://gd.eppo.int/media/data/taxon/S/SCRV00/pics/220x130/1534.jpg	https://gd.eppo.int/media/data/taxon/S/SCRV00/pics/1024x0/1534.jpg	Symptoms on a strawberry plant grown in a pot.	Dr Jelkmann, Biologische Bundesanstalt, Dossenheim (DE).	https://gd.eppo.int/taxon/SCRV00/photos
PHCMOV	Alphanucleorhabdovirus physostegiae	19750	https://gd.eppo.int/media/data/taxon/P/PHCMOV/pics/220x130/19750.jpg	https://gd.eppo.int/media/data/taxon/P/PHCMOV/pics/1024x0/19750.jpg	""	Wietse den Hartog NVWA (NPPO the Netherlands)	https://gd.eppo.int/taxon/PHCMOV/photos
PYDV00	Alphanucleorhabdovirus tuberosum	1446	https://gd.eppo.int/media/data/taxon/P/PYDV00/pics/220x130/1446.jpg	https://gd.eppo.int/media/data/taxon/P/PYDV00/pics/1024x0/1446.jpg	Leaves of Chrysanthemum leucanthemum var. pinnatifidum showing symptoms produced by the form of PYDV which is transmitted by Agallia constricta (this form is also called constricta yellow dwarf virus or CYDV).	L.M. Black (US).	https://gd.eppo.int/taxon/PYDV00/photos
PYDV00	Alphanucleorhabdovirus tuberosum	1443	https://gd.eppo.int/media/data/taxon/P/PYDV00/pics/220x130/1443.jpg	https://gd.eppo.int/media/data/taxon/P/PYDV00/pics/1024x0/1443.jpg	Leafhopper vectors of PYDV; upper row: females, lower row: males. Species (from L to R): Aceratagallia sanguinolenta (SYDV vector), Agallia constricta (CYDV vector), Agalliopsis novella (transmits neither virus).	L.M. Black (US).	https://gd.eppo.int/taxon/PYDV00/photos
