Accession	Taxid	Species_NCBI	Species_ICTV	Segment	Sequence_Type	Category	Topology	Molecule_type	Molecule_Type2	Length	Nuc_Completeness	GenBank_Title	Geo_Location	USA	Host	Isolation_Source	Collection_Date	Release_Date	NCBI_Status	Virus name(s)	VMR_Species	VMR_Family	VMR_Genus	Virus GENBANK accession	Genome coverage
NC_116488.1	3429998	Janusivirus portis	Janusivirus portis		RefSeq	NonSegmented_Complete	circular	ssDNA	DNA	2302	complete	Janusivirus portis isolate DF 226, complete genome	Brazil		Cenostigma pluviosum		2014	2025-12-04		Caesalpinia pluviosa associated gemycircularvirus DF 226		Mahapunaviridae	Janusivirus		
NC_083851.1	2283315	Bird's-foot trefoil nucleorhabdovirus	Bird's-foot trefoil nucleorhabdovirus		RefSeq	NonSegmented_Complete	linear	ssRNA(-)	cRNA	13626	complete	Bird's-foot trefoil nucleorhabdovirus isolate LC, complete genome			Lotus corniculatus			2024-02-21							
NC_077216.1	698400	Pepper yellows virus	Polerovirus PEVYV6		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	DNA	6096	complete	Pepper yellows virus genome assembly, complete genome: monopartite	Greece		Capsicum annuum		2014-01	2023-05-06		pepper vein yellows virus 6		Solemoviridae	Polerovirus		
NC_014798.1	926844	Tobacco curly shoot alphasatellite	Colecusatellite nicotianae		RefSeq	NonSegmented_Complete	circular	ssDNA	DNA	1356	complete	Tobacco curly shoot alphasatellite isolate WSFA1, complete sequence	India		Helianthus		2010	2023-05-04		tobacco curly shoot alphasatellite		Alphasatellitidae	Colecusatellite		
NC_074893.1	664980	Tomato leaf curl Hainan virus	Begomovirus solanumhainanense		RefSeq	NonSegmented_Complete	circular	ssDNA(+/-)	ss-DNA	2756	complete	Tomato leaf curl Hainan virus isolate FQ12, complete genome	China		Solanum lycopersicum var. cerasiforme		2012-12-13	2023-05-04		tomato leaf curl Hainan virus		Geminiviridae	Begomovirus		
NC_074989.1	1736759	Chayote yellow mosaic Benin betasatellite	Betasatellite momordicae		RefSeq	NonSegmented_Complete	circular	ssDNA	DNA	1367	complete	Chayote yellow mosaic Benin betasatellite isolate Benin-Momordica charantia-57-14, complete sequence	Benin		Momordica charantia		2014	2023-05-04		Momordica yellow mosaic betasatellite		Tolecusatellitidae	Betasatellite		
NC_074990.1	875325	Rose leaf curl betasatellite	Betasatellite rosae		RefSeq	NonSegmented_Complete	circular	ssDNA	DNA	1348	complete	Rose leaf curl betasatellite clone EcYVB-[PK,Fai,06], complete sequence	Pakistan		Nicotiana benthamiana			2023-05-04		rose leaf curl betasatellite		Tolecusatellitidae	Betasatellite		
NC_074991.1	53991	Tomato leaf curl Java betasatellite	Betasatellite solanijavaense		RefSeq	NonSegmented_Complete	circular	ssDNA	RNA	1356	complete	Tomato leaf curl Java virus betasatellite clone R7, complete sequence	Nepal		Carica papaya	plant leaf	2010-11-25	2023-05-04		tomato leaf curl Java virus betasatellite		Tolecusatellitidae	Betasatellite		
NC_075080.1	1853865	Euphorbia caput-medusae latent virus	Capulavirus euphorbiae		RefSeq	NonSegmented_Complete	linear	ssDNA(+/-)	DNA	2678	complete	Euphorbia caput-medusae latent virus, isolate Dar10 complete genome	South Africa:Western Cape, Darling		Euphorbia caput-medusae	plant leaf	2010-09	2023-05-04		Euphorbia caput-medusae latent virus		Geminiviridae	Capulavirus		
NC_075086.1	10834	Wheat dwarf virus	Mastrevirus hordei		RefSeq	NonSegmented_Complete	circular	ssDNA(+/-)	DNA	2739	complete	Wheat dwarf virus V1 gene, V2 gene, repA gene and Rep gene, isolate Barley	Turkey:Tekirdag		Hordeum vulgare			2023-05-04		wheat dwarf virus-A		Geminiviridae	Mastrevirus		
NC_075096.1	635076	Betasatellite ageracameroonense	Betasatellite ageracameroonense		RefSeq	NonSegmented_Complete	circular	ssDNA	DNA	1393	complete	Ageratum leaf curl Cameroon betasatellite complete sequence, isolate AMBF	Cameroon:Manjo		Ageratum conyzoides			2023-05-04		Ageratum leaf curl Cameroon betasatellite		Tolecusatellitidae	Betasatellite		
NC_075103.1	327839	Croton yellow vein betasatellite	Deltasatellite codiaeumiflavi		RefSeq	NonSegmented_Complete	circular	ssDNA	DNA	739	complete	Croton yellow vein virus-associated DNA beta truncated genome	India:Madurai		Croton bonplandianus			2023-05-04		Croton yellow vein deltasatellite		Tolecusatellitidae	Deltasatellite		
NC_075107.1	1868659	Sugarcane striate virus	Mastrevirus saccharumstriati		RefSeq	NonSegmented_Complete	circular	ssDNA(+/-)	ss-DNA	2747	complete	Sugarcane striate virus isolate WZG, complete genome	China		Saccharum officinarum		2014-06-07	2023-05-04		sugarcane striate virus		Geminiviridae	Mastrevirus		
NC_075108.1	1856642	Maize yellow mosaic virus	Polerovirus MAYMV		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	5642	complete	Maize yellow mosaic virus isolate Yunnan11, complete genome	China		Zea mays		2013	2023-05-04		maize yellow mosaic virus		Solemoviridae	Polerovirus		
NC_075110.1	603333	Sweet potato symptomless virus 1	Mastrevirus ipomoeae		RefSeq	NonSegmented_Complete	circular	ssDNA(+/-)	DNA	2602	complete	Sweet potato symptomless virus 1 isolate Q44429, complete genome	Kenya		Ipomoea batatas		2005-07-15	2023-05-04		sweet potato symptomless virus 1		Geminiviridae	Mastrevirus		
NC_075123.1	1453083	Faba bean necrotic yellows C9 alphasatellite	Fabenesatellite fabae		RefSeq	NonSegmented_Complete	circular	ssDNA	DNA	1004	complete	Faba bean necrotic yellows C9 alphasatellite C9 gene						2023-05-04		faba bean necrotic yellows alphasatellite 2		Alphasatellitidae	Fabenesatellite		
NC_075135.1	268328	Maize streak virus - A[South Africa]	Mastrevirus storeyi		RefSeq	NonSegmented_Complete	circular	ssDNA(+/-)	DNA	2690	complete	Maize streak virus - A[South Africa] infectious genome, strain South African						2023-05-04		maize streak virus-K		Geminiviridae	Mastrevirus		
NC_075416.1	909827	Pepper vein yellows virus	Polerovirus PEVYV1		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	6244	complete	Pepper vein yellows virus isolate HN, complete genome	China		Piperaceae	flower	2013-07-07	2023-05-04		pepper vein yellows virus 1		Solemoviridae	Polerovirus		
NC_075418.1	2560614	Nectarine stem pitting associated virus	Luteovirus nucipersicae		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	4991	complete	Nectarine stem pitting associated virus isolate NSPaV/SF04522E, complete genome	USA		Prunus persica			2023-05-04		nectarine stem pitting associated virus		Tombusviridae	Luteovirus		
NC_075430.1	52996	Dioscorea bacilliform virus	Dioscorea bacilliform virus		RefSeq	NonSegmented_Complete	circular	dsDNA-RT	DNA	8106	complete	Dioscorea bacilliform virus isolate FJ14, complete genome	Fiji		Dioscorea esculenta		2017-02	2023-05-04							
NC_075432.1	2012856	Rice latent virus 1	Mastrevirus oryzaprimi		RefSeq	NonSegmented_Complete	circular	ssDNA(+/-)	ss-DNA	2756	complete	Rice latent virus 1 isolate AU-NA67-2015, complete genome	Australia		Oryza sp.		2015-05	2023-05-04		rice latent virus 1		Geminiviridae	Mastrevirus		
NC_075436.1	2025388	maize striate mosaic virus	Mastrevirus striatis		RefSeq	NonSegmented_Complete	circular	ssDNA(+/-)	ss-DNA	2746	complete	Maize striate mosaic virus isolate MSMV_BR_974_Pla_2016, complete genome	Brazil		Zea mays		2016	2023-05-04		maize striate mosaic virus		Geminiviridae	Mastrevirus		
NC_075437.1	2025352	Wild vitis virus 1	Grablovirus silvestris		RefSeq	NonSegmented_Complete	circular	ssDNA(+/-)	DNA	3237	complete	Wild vitis virus 1 isolate WVV1-NY1298, complete genome	USA		Vitis vinifera		2015-06	2023-05-04		wild Vitis virus 1		Geminiviridae	Grablovirus		
NC_075984.1	1407057	Tomato leaf curl alphasatellite	Colecusatellite solanumpakistanense		RefSeq	NonSegmented_Complete	circular	ssDNA	DNA	1371	complete	Tomato leaf curl alphasatellite isolate SZ 258, complete sequence	Pakistan: NIAB,Fsd		Gossypium hirsutum		2015-06	2023-05-04		tomato leaf curl Pakistan alphasatellite		Alphasatellitidae	Colecusatellite		
NC_075993.1	1911908	Begomovirus-associated alphasatellite sp.	Clecrusatellite chiapasense		RefSeq	NonSegmented_Complete	linear	ssDNA	DNA	1130	complete	Begomovirus-associated alphasatellite sp. isolate PJ alpha rep (gp1) gene, complete cds	India		Capsicum annuum		2015-07-22	2023-05-04		begomovirus-associated alphasatellite		Alphasatellitidae	Clecrusatellite		
